,scenario-text,scenario-id,procedure,adult-rrl,peds-rrl,appropriateness
0,"Abd pain, acute, nonlocalized, fever, initial exam",3081311,CT abdomen and pelvis with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually appropriate
1,"Abd pain, acute, nonlocalized, fever, initial exam",3081311,US abdomen,0 mSvO,0 mSv [ped]O,May be appropriate
2,"Abd pain, acute, nonlocalized, fever, initial exam",3081311,Radiography abdomen,0.1-1mSv☢☢,0.03-0.3 mSv [ped]☢☢,May be appropriate
3,"Abd pain, acute, nonlocalized, fever, initial exam",3081311,MRI abdomen and pelvis without and with IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
4,"Abd pain, acute, nonlocalized, fever, initial exam",3081311,MRI abdomen and pelvis without IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
5,"Abd pain, acute, nonlocalized, fever, initial exam",3081311,CT abdomen and pelvis without IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,May be appropriate
6,"Abd pain, acute, nonlocalized, fever, initial exam",3081311,CT abdomen and pelvis without and with IV contrast,10-30 mSv☢☢☢☢,10-30 mSv [ped]☢☢☢☢☢,May be appropriate
7,"Abd pain, acute, nonlocalized, fever, initial exam",3081311,Fluoroscopy contrast enema,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
8,"Abd pain, acute, nonlocalized, fever, initial exam",3081311,Fluoroscopy upper GI series with small bowel follow-through,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
9,"Abd pain, acute, nonlocalized, fever, initial exam",3081311,Nuclear medicine scan gallbladder,0.1-1mSv☢☢,,Usually not appropriate
10,"Abd pain, acute, nonlocalized, fever, initial exam",3081311,FDG-PET/CT skull base to mid-thigh,10-30 mSv☢☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually not appropriate
11,"Abd pain, acute, nonlocalized, fever, initial exam",3081311,WBC scan abdomen and pelvis,10-30 mSv☢☢☢☢,,Usually not appropriate
12,"Abd pain, acute, nonlocalized, fever, post op, initial exam",3074175,CT abdomen and pelvis with IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,Usually appropriate
13,"Abd pain, acute, nonlocalized, fever, post op, initial exam",3074175,US abdomen,0 mSvO,0 mSv [ped]O,May be appropriate
14,"Abd pain, acute, nonlocalized, fever, post op, initial exam",3074175,Radiography abdomen,0.1-1mSv☢☢,0.03-0.3 mSv [ped]☢☢,May be appropriate
15,"Abd pain, acute, nonlocalized, fever, post op, initial exam",3074175,Fluoroscopy contrast enema,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,May be appropriate
16,"Abd pain, acute, nonlocalized, fever, post op, initial exam",3074175,Fluoroscopy upper GI series with small bowel follow-through,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,May be appropriate
17,"Abd pain, acute, nonlocalized, fever, post op, initial exam",3074175,MRI abdomen and pelvis without and with IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
18,"Abd pain, acute, nonlocalized, fever, post op, initial exam",3074175,MRI abdomen and pelvis without IV contrast,0 mSvO,0 mSv [ped]O,May be appropriate
19,"Abd pain, acute, nonlocalized, fever, post op, initial exam",3074175,CT abdomen and pelvis without IV contrast,1-10 mSv☢☢☢,3-10 mSv [ped]☢☢☢☢,May be appropriate
20,"Abd pain, acute, nonlocalized, fever, post op, initial exam",3074175,CT abdomen and pelvis without and with IV contrast,10-30 mSv☢☢☢☢,10-30 mSv [ped]☢☢☢☢☢,May be appropriate
